55, 110.63037109375
42, 110.63037109375
21, 115.64599609375
58, 110.63037109375
31, 113.03662109375
8, 245.78680419921875
38, 110.67724609375
50, 110.61474609375
5, 237.94305419921875
46, 110.63037109375
40, 110.67724609375
57, 110.63037109375
13, 152.97418212890625
48, 110.61474609375
7, 245.45867919921875
39, 110.67724609375
54, 110.63037109375
59, 110.63037109375
16, 153.17730712890625
37, 110.67724609375
4, 239.61492919921875
6, 244.36492919921875
9, 245.91180419921875
24, 115.75537109375
18, 153.20855712890625
10, 246.05242919921875
41, 110.63037109375
14, 153.02105712890625
30, 115.97412109375
47, 110.63037109375
23, 115.70849609375
53, 110.63037109375
32, 112.02099609375
35, 110.64599609375
22, 115.69287109375
44, 110.63037109375
36, 110.67724609375
60, 110.63037109375
2, 239.67742919921875
20, 153.27105712890625
3, 237.66180419921875
49, 110.61474609375
43, 110.63037109375
34, 110.64599609375
29, 115.89599609375
27, 115.84912109375
1, 232.0367431640625
11, 152.67730712890625
19, 153.22418212890625
52, 110.61474609375
26, 115.78662109375
51, 110.61474609375
45, 110.63037109375
12, 152.73980712890625
28, 115.86474609375
17, 153.19293212890625
56, 110.63037109375
25, 115.78662109375
33, 110.98974609375
15, 153.03668212890625
